node_id,celltype
8544824,internal
8546775,internal
8559525,internal
8559607,internal
8565131,internal
8566140,internal
8571259,internal
8572353,internal
8582134,internal
8592501,internal
8639662,internal
8640212,internal
8641784,internal
8644484,internal
8670503,internal
8687096,internal
8689148,internal
8689674,internal
8696919,internal
8697453,internal
8698941,internal
8700125,internal
8704079,internal
8705088,internal
8709865,internal
8710444,internal
8711574,internal
8712361,internal
8715940,internal
8717042,internal
8717219,internal
8723267,internal
8723983,internal
8741619,internal
8752697,internal
8755914,internal
8765298,internal
8790590,internal
8792477,internal
8798010,internal
8801715,internal
8801736,internal
8802069,internal
8805777,internal
8809171,internal
8810141,internal
8812078,internal
8813113,internal
8814524,internal
8814922,internal
8821758,internal
8826198,internal
8835968,internal
8838927,internal
8840343,internal
8842220,internal
8847957,internal
8850802,internal
8864096,internal
8864778,internal
8864785,internal
8865199,internal
8877158,internal
8877795,internal
8877971,internal
8880781,internal
8884212,internal
8891315,internal
8912726,internal
8922644,internal
8924186,internal
8932110,internal
8939384,internal
8942413,internal
8943485,internal
8951591,internal
8954310,internal
8970595,internal
8974428,internal
8979434,internal
8980589,internal
8981761,internal
8993049,internal
8995807,internal
8997281,internal
9006142,internal
9015568,internal
9015745,internal
9034378,internal
9037152,internal
9039416,internal
9048462,internal
9051500,internal
9051960,internal
9057043,internal
9057998,internal
9061235,internal
9062992,internal
9064208,internal
9067063,internal
9068024,internal
9068346,internal
9069084,internal
9072237,internal
9072560,internal
9074101,internal
9077224,internal
9078240,internal
9083312,internal
9085808,internal
9091922,internal
9094797,internal
9097065,internal
9103710,internal
9103732,internal
9109799,internal
9116228,internal
9119558,internal
9141404,internal
9154024,internal
9161929,internal
9177218,internal
9201911,internal
9202326,internal
9207332,internal
9212816,internal
9235545,internal
9236708,internal
9237370,internal
9237734,internal
9238937,internal
9239759,internal
9241349,internal
9251793,internal
9252296,internal
9275210,internal
9287199,internal
9287906,internal
9288827,internal
9291437,internal
9291474,internal
9291938,internal
9294475,internal
9348984,internal
9351843,internal
9384504,internal
9408003,internal
9409359,internal
9421292,internal
9422291,internal
9423829,internal
9428865,internal
9429085,internal
9436520,internal
9445876,internal
9447255,internal
9457719,internal
9469519,internal
9480916,internal
9481869,internal
9488991,internal
9503414,internal
9503428,internal
9507904,internal
9508724,internal
9513911,internal
9519425,internal
9521722,internal
9524538,internal
9525492,internal
9527333,internal
9527522,internal
9530532,internal
9531722,internal
9532295,internal
9539868,internal
9556700,internal
9565674,internal
9567051,internal
9577562,internal
9583435,internal
9585013,internal
9585036,internal
9585145,internal
9589146,internal
9594273,internal
9604434,internal
9606496,internal
9609048,internal
9612903,internal
9621307,internal
9637388,internal
9640873,internal
9641919,internal
9643439,internal
9698907,internal
9707941,internal
9714476,internal
9720614,internal
9730873,internal
9739780,internal
9747418,internal
9747710,internal
9753418,internal
9753494,internal
9753530,internal
9766793,internal
9767705,internal
9787933,internal
9792178,internal
9796812,internal
9798791,internal
9800031,internal
9800178,internal
9806510,internal
9808146,internal
9809626,internal
9811608,internal
9813188,internal
9822593,internal
9841469,internal
9845997,internal
9847388,internal
9848760,internal
9856062,internal
9870483,internal
9889095,internal
9897223,internal
9927082,internal
9940382,internal
9961098,internal
9965610,internal
9971209,internal
9983191,internal
9983417,internal
10013517,internal
10017944,internal
10018150,internal
10018260,internal
10056280,internal
10079731,internal
10100020,internal
10119916,internal
10160250,internal
10163418,internal
10167078,internal
10169396,internal
10198121,internal
10202724,internal
10209260,internal
10229852,internal
10234576,internal
10237401,internal
10238739,internal
10240382,internal
10248031,internal
10259967,internal
10276161,internal
10281116,internal
10282065,internal
10287315,internal
10293348,internal
10317031,internal
10319019,internal
10323628,internal
10339991,internal
10340880,internal
10343101,internal
10345590,internal
10351681,internal
10355356,internal
10367190,internal
10378182,internal
10382686,internal
10382824,internal
10400440,internal
10403609,internal
10411574,internal
10427055,internal
10447988,internal
10449035,internal
10473853,internal
10495502,internal
10523825,internal
10540188,internal
10543751,internal
10553248,internal
10555409,internal
10568310,internal
10581624,internal
10583715,internal
10596949,internal
10600188,internal
10609443,internal
10612094,internal
10612630,internal
10617840,internal
10627239,internal
10658673,internal
10660512,internal
10663559,internal
10673895,internal
10681487,internal
10682411,internal
10682660,internal
10683313,internal
10684539,internal
10702736,internal
10710503,internal
10714526,internal
10716080,internal
10725068,internal
10728318,internal
10728328,internal
10728333,internal
10739296,internal
10758204,internal
10760217,internal
10766722,internal
10768709,internal
10781924,internal
10784285,internal
10785260,internal
10792336,internal
10792617,internal
10797407,internal
10809383,internal
10827212,internal
10831005,internal
10842047,internal
10842099,internal
10855798,internal
10870424,internal
10872426,internal
10875178,internal
10875625,internal
10877689,internal
10880408,internal
10882750,internal
10885466,internal
10893103,internal
10915553,internal
10918898,internal
10921106,internal
10922020,internal
10922928,internal
10929797,internal
10937355,internal
10944822,internal
10945111,internal
10945581,internal
10945795,internal
10946002,internal
10949030,internal
10949382,internal
10955244,internal
10958210,internal
10959064,internal
10961507,internal
10964258,internal
10982951,internal
10986253,internal
10990803,internal
11003551,internal
11003660,internal
11003696,internal
11003707,internal
11004239,internal
11011058,internal
11013351,internal
11013583,internal
11017761,internal
11018254,internal
11022546,internal
11027071,internal
11029359,internal
11029851,internal
11037238,internal
11050498,internal
11051276,internal
11051740,internal
11067379,internal
11073313,internal
11079069,internal
11081239,internal
11084320,internal
11102156,internal
11123016,internal
11135340,internal
11137808,internal
11144258,internal
11146422,internal
11157622,internal
11178891,internal
11184236,internal
11193510,internal
11197975,internal
11210000,internal
11216417,internal
11234536,internal
11248536,internal
11257084,internal
11263687,internal
11271082,internal
11278919,internal
11279244,internal
11286854,internal
11291653,internal
11303036,internal
11306294,internal
11329998,internal
11333054,internal
11348509,internal
11356523,internal
11359482,internal
11361875,internal
11362334,internal
11362589,internal
11389855,internal
11409587,internal
11455472,internal
11464638,internal
11465297,internal
11468088,internal
11476614,internal
11524047,internal
11525714,internal
11528017,internal
11543212,internal
11600886,internal
11605567,internal
11605861,internal
11623145,internal
11624548,internal
11625573,internal
11637003,internal
11645541,internal
11656349,internal
11687072,internal
11691603,internal
11691640,internal
11703922,internal
11714576,internal
11717001,internal
11717014,internal
11717020,internal
11717025,internal
11717030,internal
11717035,internal
11717040,internal
11717045,internal
11719626,internal
11725127,internal
11725803,internal
11756023,internal
11782821,internal
11785627,internal
11788830,internal
11813287,internal
11821320,internal
11826171,internal
11838242,internal
11841664,internal
11851588,internal
11853038,internal
11871574,internal
11876076,internal
11889676,internal
11891098,internal
11905911,internal
11908619,internal
11909406,internal
11934107,internal
11934261,internal
11946903,internal
11986594,internal
12030078,internal
12031406,internal
12049797,internal
12089601,internal
12121795,internal
12122924,internal
12138418,internal
12156009,internal
12195879,internal
12199095,internal
12217572,internal
12225666,internal
12233237,internal
12252572,internal
12262910,internal
12273754,internal
12279909,internal
12279941,internal
12281339,internal
12293334,internal
12299621,internal
12299647,internal
12299704,internal
12299805,internal
12300089,internal
12325227,internal
12336493,internal
12356747,internal
12360656,internal
12364717,internal
12366224,internal
12366640,internal
12367135,internal
12367568,internal
12371688,internal
12387154,internal
12389097,internal
12390459,internal
12398622,internal
12420377,internal
12420898,internal
12422147,internal
12422355,internal
12424328,internal
12424940,internal
12425856,internal
12452356,internal
12474164,internal
12474815,internal
12475432,internal
12476851,internal
12478620,internal
12479019,internal
12498338,internal
12500843,internal
12509506,internal
12548756,internal
12551020,internal
12585379,internal
12587013,internal
12598741,internal
12612426,internal
12617396,internal
12654063,internal
12667895,internal
12670738,internal
12704069,internal
12726582,internal
12736001,internal
12740290,internal
12745771,internal
12746220,internal
12782494,internal
12789813,internal
12805363,internal
12813847,internal
12832017,internal
12839441,internal
12840470,internal
12842593,internal
12866697,internal
12868041,internal
12869029,internal
12871993,internal
12882179,internal
12882387,internal
12884490,internal
12923749,internal
12928099,internal
12935696,internal
12935706,internal
12948470,internal
12990900,internal
12998937,internal
13003574,internal
13028455,internal
13038489,internal
13045287,internal
13046354,internal
13046847,internal
13049485,internal
13081886,internal
13084891,internal
13137623,internal
13167730,internal
13173311,internal
13197236,internal
13199414,internal
13206239,internal
13210358,internal
13242252,internal
13242336,internal
13358515,internal
13365464,internal
13369670,internal
13370624,internal
13395814,internal
13405613,internal
13411394,internal
13411445,internal
13411525,internal
13422280,internal
13429045,internal
13557064,internal
13564607,internal
13589251,internal
13634759,internal
13644685,internal
13646473,internal
13652117,internal
13665529,internal
13674287,internal
13675374,internal
13713529,internal
13714311,internal
13718916,internal
13722516,internal
13722900,internal
13724377,internal
13727202,internal
13736919,internal
13743125,internal
13749806,internal
13760954,internal
13763548,internal
13768622,internal
13774384,internal
13775497,internal
13789482,internal
13795090,internal
13803032,internal
13806524,internal
13818467,internal
13832416,internal
13834125,internal
13835439,internal
13836327,internal
13841523,internal
13849274,internal
13849557,internal
13852833,internal
13854190,internal
13858797,internal
13858824,internal
13863331,internal
13948718,internal
13950464,internal
13953184,internal
13953356,internal
13953546,internal
13966828,internal
13986477,internal
13986583,internal
13988443,internal
14000746,internal
14034206,internal
14039007,internal
14071449,internal
14071613,internal
14073503,internal
14077179,internal
14077615,internal
14082322,internal
14083681,internal
14127447,internal
14133114,internal
14154154,internal
14158399,internal
14162492,internal
14206030,internal
14214039,internal
14241490,internal
14255342,internal
14260575,internal
14270761,internal
14313750,internal
14319185,internal
14319498,internal
14319960,internal
14328512,internal
14329745,internal
14333371,internal
14333495,internal
14334367,internal
14338439,internal
14342744,internal
14374534,internal
14434314,internal
14450919,internal
14451162,internal
14460113,internal
14461238,internal
14492757,internal
14492880,internal
14493841,internal
14495367,internal
14501257,internal
14514597,internal
14519048,internal
14519756,internal
14522124,internal
14522404,internal
14531828,internal
14540633,internal
14541927,internal
14570370,internal
14579509,internal
14586769,internal
14588375,internal
14604028,internal
14617508,internal
14621584,internal
14638686,internal
14651659,internal
14655602,internal
14656798,internal
14680483,internal
14723506,internal
14726012,internal
14726069,internal
14753815,internal
14754777,internal
14755393,internal
14756000,internal
14756061,internal
14756440,internal
14757050,internal
14757992,internal
14758420,internal
14759661,internal
14760757,internal
14762026,internal
14782250,internal
14797760,internal
14818307,internal
14891367,internal
14898295,internal
14898816,internal
14913093,internal
14914182,internal
14938436,internal
14948339,internal
14981128,internal
14995061,internal
14999928,internal
15005403,internal
15018449,internal
15023806,internal
15023987,internal
15028907,internal
15048530,internal
15055590,internal
15063529,internal
15068806,internal
15096548,internal
15155348,internal
15225589,internal
15253921,internal
15315491,internal
15343835,internal
15365184,internal
15398730,internal
15404207,internal
15421363,internal
15431408,internal
15431795,internal
15467736,internal
15468308,internal
15474790,internal
15478720,internal
15480928,internal
15481779,internal
15488316,internal
15510288,internal
15512404,internal
15512408,internal
